City,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,WindSpeed,Rainfall,Pressure,AQI
Pune,2024-02-03 15:00:00,100.85,156.39,50.12,20.31,1.59,62.79,30.8,80.9,10.8,0.0,1011.7,222
Delhi,2024-02-03 16:00:00,170.23,261.42,41.9,24.42,0.38,22.12,21.0,66.2,3.9,15.0,1011.5,360
Pune,2024-02-03 17:00:00,84.22,120.01,26.87,11.94,1.13,39.13,36.5,65.7,8.4,0.0,1023.5,176
Delhi,2024-02-03 18:00:00,112.53,179.42,53.4,27.73,0.43,68.85,25.0,50.5,7.1,0.0,1012.4,249
Pune,2024-02-03 19:00:00,102.41,147.84,43.79,17.36,1.24,46.85,24.3,61.5,8.0,0.0,1002.3,218
Bhopal,2024-02-03 20:00:00,177.88,266.71,45.49,28.8,0.41,39.76,41.8,77.8,12.8,0.0,1009.4,374
Pune,2024-02-03 21:00:00,127.86,195.22,28.64,16.27,0.96,45.09,30.7,63.3,17.2,0.0,1023.7,269
Bengaluru,2024-02-03 22:00:00,161.27,277.96,73.46,12.81,0.64,32.39,33.5,38.0,2.3,15.0,1006.6,365
Pune,2024-02-03 23:00:00,60.58,106.02,62.03,16.79,1.59,56.19,36.5,50.7,10.6,0.0,1009.4,148
Pune,2024-02-04 00:00:00,130.68,198.77,63.43,19.33,1.4,32.41,22.4,77.3,7.0,0.0,1021.3,285
Delhi,2024-02-04 01:00:00,155.59,271.26,43.11,17.28,1.55,10.57,35.7,63.2,10.9,0.0,1007.4,345
Delhi,2024-02-04 02:00:00,123.29,214.88,20.33,18.49,1.35,32.52,23.5,59.9,10.6,0.0,1011.4,269
Pune,2024-02-04 03:00:00,162.62,277.41,79.25,22.34,0.7,24.47,23.2,49.1,12.0,0.0,1020.1,368
Bengaluru,2024-02-04 04:00:00,99.31,144.86,47.02,18.8,1.66,34.06,25.1,77.0,8.4,3.0,1008.6,213
Delhi,2024-02-04 05:00:00,176.37,295.63,36.02,19.54,2.36,34.37,22.6,84.6,4.7,0.0,1007.2,382
Bengaluru,2024-02-04 06:00:00,211.96,376.86,54.67,8.04,1.6,54.76,32.8,78.2,10.5,0.0,1000.9,472
Delhi,2024-02-04 07:00:00,105.49,176.48,66.67,22.74,1.19,47.73,28.9,81.1,7.9,0.0,1005.4,242
Bhopal,2024-02-04 08:00:00,102.18,156.61,47.63,19.38,0.69,41.69,23.6,52.3,6.8,15.0,1006.7,223
Bengaluru,2024-02-04 09:00:00,178.14,285.06,68.46,31.27,0.95,37.96,31.7,50.0,6.0,0.0,1009.8,389
Bhopal,2024-02-04 10:00:00,183.18,303.77,65.33,13.42,1.63,23.18,25.1,55.5,10.7,3.0,1014.1,404
Bhopal,2024-02-04 11:00:00,99.09,158.96,30.78,7.34,1.94,7.46,24.7,58.6,12.6,0.0,1011.7,215
Delhi,2024-02-04 12:00:00,103.19,149.42,37.22,24.33,1.53,39.58,27.3,80.9,3.7,0.0,1004.6,218
Bengaluru,2024-02-04 13:00:00,108.73,165.79,63.32,22.43,1.8,49.12,30.2,76.7,9.5,15.0,1020.2,240
Indore,2024-02-04 14:00:00,66.22,113.97,5.0,12.94,1.75,36.48,29.7,66.6,6.3,3.0,1005.4,142
Bhopal,2024-02-04 15:00:00,83.25,145.24,45.61,9.29,1.65,30.51,24.5,35.1,2.8,15.0,1022.8,191
Bhopal,2024-02-04 16:00:00,79.83,116.15,25.11,30.76,1.07,44.5,32.9,31.0,8.0,0.0,1012.9,168
Bhopal,2024-02-04 17:00:00,89.29,159.02,40.38,29.9,1.49,36.83,25.4,61.8,4.8,0.0,1018.3,204
Delhi,2024-02-04 18:00:00,118.61,181.66,43.22,2.59,0.98,61.6,22.4,72.1,2.5,0.0,1015.2,255
Delhi,2024-02-04 19:00:00,129.37,215.39,42.27,16.79,1.41,55.26,16.7,56.7,5.0,15.0,1021.0,284
Bhopal,2024-02-04 20:00:00,182.02,309.57,39.16,31.65,1.57,51.43,33.9,88.6,4.2,3.0,1011.7,397
Pune,2024-02-04 21:00:00,80.07,138.1,30.45,16.67,2.24,48.61,27.1,40.7,5.4,15.0,1010.4,179
Delhi,2024-02-04 22:00:00,159.37,283.41,84.67,16.57,0.75,19.94,28.5,38.7,3.3,15.0,1013.8,368
Delhi,2024-02-04 23:00:00,111.44,169.97,77.88,18.02,1.64,47.28,34.3,47.4,6.2,0.0,1010.3,250
Delhi,2024-02-05 00:00:00,118.02,205.76,29.41,12.15,2.14,43.27,23.7,46.8,5.2,15.0,1014.7,261
Mumbai,2024-02-05 01:00:00,146.99,213.53,73.31,8.07,1.78,46.49,17.4,66.4,8.7,3.0,1021.3,317
Bengaluru,2024-02-05 02:00:00,75.09,126.3,41.61,27.37,1.82,44.9,27.5,51.3,9.4,3.0,1001.9,171
Delhi,2024-02-05 03:00:00,135.3,229.57,50.07,7.1,1.69,44.34,29.2,33.2,8.3,0.0,1011.5,301
Mumbai,2024-02-05 04:00:00,126.66,211.66,46.99,21.73,2.05,75.81,25.2,72.3,6.7,0.0,1025.2,280
Mumbai,2024-02-05 05:00:00,139.7,209.68,37.44,26.21,0.86,36.93,37.3,29.8,6.7,3.0,1009.7,294
Delhi,2024-02-05 06:00:00,131.57,230.14,63.74,9.84,0.71,51.11,9.6,40.9,4.8,15.0,1018.1,300
Pune,2024-02-05 07:00:00,218.21,320.24,50.01,13.53,1.4,31.41,34.8,32.0,4.9,15.0,1017.2,454
Mumbai,2024-02-05 08:00:00,94.49,134.31,40.38,28.49,0.32,49.07,32.5,61.3,9.8,0.0,1003.4,200
Indore,2024-02-05 09:00:00,98.76,166.61,27.13,23.73,2.02,51.15,30.2,61.0,1.9,0.0,1013.8,216
Mumbai,2024-02-05 10:00:00,95.07,151.19,33.7,15.68,2.01,43.1,8.0,88.7,7.2,0.0,1013.3,206
Bengaluru,2024-02-05 11:00:00,97.78,170.1,21.74,28.42,1.18,61.37,36.0,72.6,6.5,0.0,1028.0,215
Mumbai,2024-02-05 12:00:00,94.5,146.8,48.2,28.45,1.21,25.62,19.8,81.1,9.4,0.0,996.2,208
Delhi,2024-02-05 13:00:00,167.56,245.86,28.85,21.88,1.36,31.18,23.4,62.6,2.9,3.0,1002.3,346
Pune,2024-02-05 14:00:00,176.82,306.71,43.75,13.7,1.43,40.97,25.8,42.4,7.5,0.0,1010.6,390
Bhopal,2024-02-05 15:00:00,97.17,157.37,69.92,17.11,1.46,50.33,29.9,60.0,8.6,15.0,1009.9,223
Indore,2024-02-05 16:00:00,86.71,127.95,67.19,22.0,1.68,40.51,31.5,67.5,1.4,3.0,1006.7,195
Mumbai,2024-02-05 17:00:00,138.86,234.41,47.48,18.68,1.31,56.0,33.2,69.3,4.1,0.0,1007.1,307
Pune,2024-02-05 18:00:00,97.91,157.09,46.61,26.57,1.87,28.74,32.7,50.4,7.2,0.0,1016.1,217
Indore,2024-02-05 19:00:00,145.32,238.57,78.08,9.29,1.62,22.03,28.8,65.8,9.1,15.0,1007.0,327
Bengaluru,2024-02-05 20:00:00,128.12,202.98,56.33,9.54,1.1,42.31,29.9,43.1,8.1,15.0,1008.8,281
Mumbai,2024-02-05 21:00:00,59.37,102.8,42.76,21.27,2.07,36.92,19.4,41.3,9.3,0.0,1018.0,139
Mumbai,2024-02-05 22:00:00,181.9,315.02,25.18,16.56,0.72,45.6,21.7,40.1,4.0,0.0,1017.1,395
Indore,2024-02-05 23:00:00,191.84,323.0,54.3,15.61,1.35,37.62,33.3,58.4,2.4,0.0,1009.1,421
Mumbai,2024-02-06 00:00:00,95.49,137.71,61.27,7.62,1.88,33.24,32.9,39.2,7.8,0.0,1003.2,209
Mumbai,2024-02-06 01:00:00,104.49,181.35,37.89,20.14,1.04,36.95,32.1,51.2,3.6,0.0,1017.3,234
Bhopal,2024-02-06 02:00:00,131.43,219.29,52.66,19.63,1.55,38.4,23.4,72.4,4.7,3.0,1006.4,292
Indore,2024-02-06 03:00:00,133.38,223.92,42.18,24.57,1.67,33.73,33.4,41.5,10.5,15.0,1019.8,293
Delhi,2024-02-06 04:00:00,146.34,226.13,45.06,20.48,0.97,35.16,18.9,49.9,8.1,0.0,1014.5,313
Delhi,2024-02-06 05:00:00,200.41,351.06,8.19,19.07,1.36,32.35,34.5,59.1,5.7,0.0,1010.8,431
Bengaluru,2024-02-06 06:00:00,112.92,190.86,44.45,28.24,1.32,49.99,25.2,62.0,5.3,3.0,1014.6,252
Bhopal,2024-02-06 07:00:00,88.07,127.26,63.51,10.81,1.12,40.72,38.8,50.0,9.5,3.0,1000.3,195
Indore,2024-02-06 08:00:00,64.83,101.33,37.9,23.75,2.55,69.59,16.3,70.6,8.2,0.0,1020.9,144
Indore,2024-02-06 09:00:00,90.76,159.25,48.84,8.3,1.02,40.25,39.3,67.4,3.6,0.0,1010.7,209
Bhopal,2024-02-06 10:00:00,118.67,168.39,35.9,14.13,1.9,30.29,24.5,76.2,1.3,0.0,1013.0,247
Bhopal,2024-02-06 11:00:00,191.78,342.25,53.77,11.51,1.2,75.39,24.3,56.7,13.5,0.0,1008.5,429
Bengaluru,2024-02-06 12:00:00,99.3,165.99,44.54,25.47,0.86,43.79,28.4,49.8,3.6,3.0,1011.0,222
Delhi,2024-02-06 13:00:00,128.95,213.1,32.97,19.54,1.45,51.86,22.1,47.1,9.2,0.0,1021.6,280
Pune,2024-02-06 14:00:00,119.34,180.0,69.32,19.91,1.72,46.29,26.5,62.9,12.3,0.0,1010.4,263
Indore,2024-02-06 15:00:00,167.54,251.22,62.86,12.25,1.86,46.72,21.8,52.0,8.0,15.0,1009.5,358
Pune,2024-02-06 16:00:00,221.08,392.82,38.32,17.9,2.18,45.5,22.1,48.9,5.6,0.0,1016.1,487
Bhopal,2024-02-06 17:00:00,98.77,150.05,55.96,14.66,2.87,22.57,30.4,50.8,2.9,15.0,1013.9,218
Indore,2024-02-06 18:00:00,100.42,171.74,56.6,22.68,1.53,43.15,20.7,47.1,2.9,0.0,1021.3,230
Delhi,2024-02-06 19:00:00,161.77,251.91,58.28,13.06,1.07,19.45,21.6,61.2,8.7,3.0,999.9,349
Indore,2024-02-06 20:00:00,147.28,214.39,20.89,29.31,1.63,35.56,17.4,35.4,12.1,15.0,1009.2,302
Pune,2024-02-06 21:00:00,193.87,272.25,64.11,8.27,1.27,27.84,23.5,62.8,6.2,3.0,1003.5,403
Indore,2024-02-06 22:00:00,143.36,231.91,38.88,14.35,1.86,43.0,36.2,68.8,5.7,15.0,1019.4,310
Bhopal,2024-02-06 23:00:00,105.63,189.11,42.27,31.74,0.75,42.68,21.1,48.7,9.7,0.0,1004.2,240
Bhopal,2024-02-07 00:00:00,143.63,222.28,90.21,16.95,2.58,44.74,21.9,88.8,5.3,0.0,1014.0,321
Bhopal,2024-02-07 01:00:00,164.35,253.57,52.83,10.8,1.83,42.02,28.4,58.3,8.4,3.0,1004.2,352
Delhi,2024-02-07 02:00:00,152.82,234.98,41.82,21.53,0.56,29.5,24.4,33.0,7.6,15.0,1009.0,325
Mumbai,2024-02-07 03:00:00,140.29,225.62,12.72,16.67,1.05,34.35,42.6,53.5,6.2,0.0,1006.0,295
Delhi,2024-02-07 04:00:00,162.67,256.41,70.24,14.15,1.81,50.89,25.9,59.0,7.5,3.0,1012.0,356
Bhopal,2024-02-07 05:00:00,166.77,292.18,26.48,12.33,1.99,52.95,29.3,65.2,13.1,15.0,1024.2,365
Bengaluru,2024-02-07 06:00:00,175.29,280.85,31.94,39.38,0.76,21.95,33.6,53.9,9.4,15.0,1003.4,373
Indore,2024-02-07 07:00:00,145.95,233.97,42.7,18.24,1.76,16.57,33.5,41.8,11.0,0.0,1005.2,315
Indore,2024-02-07 08:00:00,113.32,164.91,70.66,6.52,0.43,27.82,28.6,40.5,4.6,3.0,1015.6,248
Pune,2024-02-07 09:00:00,125.87,225.69,60.37,30.46,1.36,52.63,25.9,47.5,11.0,3.0,1011.1,290
Indore,2024-02-07 10:00:00,168.26,252.39,45.47,24.28,1.96,55.01,41.2,49.1,9.5,0.0,1004.4,354
Pune,2024-02-07 11:00:00,87.32,124.81,52.93,14.63,1.12,25.05,26.3,39.8,2.7,15.0,1009.2,190
Indore,2024-02-07 12:00:00,134.75,224.39,38.39,13.47,0.65,42.3,23.9,46.3,9.2,3.0,1002.9,294
Bengaluru,2024-02-07 13:00:00,104.27,170.8,50.23,24.71,1.47,63.68,22.5,68.6,5.9,15.0,1009.1,233
Pune,2024-02-07 14:00:00,121.15,189.73,49.17,18.27,1.1,43.81,14.9,84.4,2.6,0.0,1006.2,264
Bhopal,2024-02-07 15:00:00,171.14,268.49,63.5,6.52,1.71,57.9,32.8,70.1,7.9,0.0,1013.9,371
Mumbai,2024-02-07 16:00:00,127.64,218.79,63.47,32.51,0.96,51.98,10.6,78.9,9.2,0.0,1015.9,290
Indore,2024-02-07 17:00:00,121.86,180.14,55.9,16.96,1.01,25.26,27.0,73.6,8.0,3.0,996.1,262
Pune,2024-02-07 18:00:00,65.61,113.37,42.2,30.47,0.39,35.34,25.6,71.3,7.2,0.0,1012.6,152
Mumbai,2024-02-07 19:00:00,149.85,248.68,59.87,28.95,1.48,38.49,42.7,52.6,6.4,0.0,998.2,332
Pune,2024-02-07 20:00:00,145.82,228.58,46.53,12.99,1.32,39.46,14.2,60.3,15.4,15.0,1012.0,314
Delhi,2024-02-07 21:00:00,206.53,326.98,30.69,27.23,0.81,50.83,20.7,51.3,3.7,0.0,1021.5,435
Delhi,2024-02-07 22:00:00,107.69,161.82,41.55,15.44,1.5,43.72,26.0,54.5,10.3,0.0,1009.9,231
Indore,2024-02-07 23:00:00,128.77,219.01,49.35,6.93,1.91,5.0,25.6,59.1,7.5,0.0,1013.5,287
Bhopal,2024-02-08 00:00:00,129.98,208.63,62.56,17.03,1.29,19.62,23.2,69.4,4.8,3.0,1016.4,288
Bengaluru,2024-02-08 01:00:00,183.1,279.84,45.06,22.78,1.53,7.38,26.4,64.8,7.3,3.0,1016.6,387
Pune,2024-02-08 02:00:00,116.19,190.37,28.65,16.76,1.54,40.46,18.2,55.4,3.0,0.0,1017.0,251
Indore,2024-02-08 03:00:00,131.16,235.87,48.91,17.85,0.8,41.37,29.5,58.9,5.6,0.0,1014.6,298
Delhi,2024-02-08 04:00:00,144.32,227.17,49.82,28.0,2.43,41.97,10.7,64.9,7.3,3.0,1007.5,312
Delhi,2024-02-08 05:00:00,127.46,225.39,50.97,20.75,1.16,24.58,26.8,68.7,2.5,3.0,1015.9,289
Pune,2024-02-08 06:00:00,102.14,157.1,62.72,14.1,1.73,47.44,22.8,33.7,9.1,0.0,1020.9,227
Pune,2024-02-08 07:00:00,127.76,181.67,64.3,24.91,1.78,48.03,34.1,40.8,4.4,0.0,1014.9,274
Pune,2024-02-08 08:00:00,162.95,241.44,38.49,21.38,1.33,20.43,39.3,75.7,2.9,0.0,1013.1,340
Mumbai,2024-02-08 09:00:00,78.94,123.74,38.14,2.35,1.7,17.48,24.7,57.0,4.0,3.0,1002.0,174
Bengaluru,2024-02-08 10:00:00,125.32,186.46,31.36,23.0,1.52,38.0,36.7,51.2,14.5,0.0,1005.6,262
Pune,2024-02-08 11:00:00,92.0,128.8,59.18,22.74,0.69,63.08,24.8,53.8,1.2,0.0,1007.7,200
Pune,2024-02-08 12:00:00,167.8,296.34,71.18,20.14,1.23,61.8,20.2,53.8,8.9,0.0,1005.4,381
Indore,2024-02-08 13:00:00,59.07,102.64,42.96,26.24,1.09,45.89,39.2,66.9,5.1,0.0,1011.0,139
Bhopal,2024-02-08 14:00:00,97.64,165.69,44.14,15.29,1.17,27.78,30.6,40.3,6.4,0.0,1006.4,220
Mumbai,2024-02-08 15:00:00,135.09,198.19,71.47,22.36,0.75,50.42,27.0,58.4,9.4,0.0,1017.2,293
Bengaluru,2024-02-08 16:00:00,182.62,264.46,56.09,9.03,1.96,31.67,31.8,61.9,9.3,0.0,1009.6,382
Mumbai,2024-02-08 17:00:00,117.37,167.49,54.98,22.85,2.2,27.25,28.9,64.3,5.3,0.0,1005.3,250
Pune,2024-02-08 18:00:00,97.79,165.23,28.95,33.67,1.89,7.98,26.5,61.6,3.2,3.0,1006.5,215
Bhopal,2024-02-08 19:00:00,195.25,345.88,58.86,13.04,2.04,39.43,17.7,66.3,9.5,0.0,1012.4,437
Pune,2024-02-08 20:00:00,62.08,97.6,33.13,14.68,1.23,29.18,25.1,48.8,9.3,0.0,1010.3,138
Delhi,2024-02-08 21:00:00,32.05,46.39,29.86,15.03,1.08,39.35,31.4,42.9,6.6,3.0,1012.3,73
Pune,2024-02-08 22:00:00,137.6,220.84,42.45,20.91,1.01,5.81,26.1,97.3,8.9,0.0,1010.5,298
Indore,2024-02-08 23:00:00,99.92,153.83,38.63,12.56,1.72,40.38,33.3,53.2,6.1,15.0,1022.3,216
Indore,2024-02-09 00:00:00,79.15,122.68,44.45,22.95,1.51,5.0,29.7,55.0,4.9,0.0,1017.1,175
Bhopal,2024-02-09 01:00:00,148.33,244.53,24.94,25.93,1.36,53.23,20.9,68.8,7.5,0.0,1006.8,318
Pune,2024-02-09 02:00:00,129.75,218.95,63.34,23.74,2.05,45.31,17.8,83.5,9.2,15.0,1000.3,293
Indore,2024-02-09 03:00:00,97.44,140.72,66.04,7.62,1.6,34.1,25.9,49.3,8.5,0.0,1009.8,215
Indore,2024-02-09 04:00:00,68.79,97.28,16.84,26.97,0.98,45.88,23.3,42.0,9.1,0.0,1005.2,142
Pune,2024-02-09 05:00:00,154.9,278.47,63.66,26.56,1.06,24.31,29.4,38.1,5.1,3.0,1001.6,354
Mumbai,2024-02-09 06:00:00,146.01,218.0,35.03,25.81,1.74,39.01,22.0,83.5,12.6,0.0,1015.8,306
Bhopal,2024-02-09 07:00:00,116.03,164.94,61.71,22.61,1.92,49.13,22.7,41.4,6.4,0.0,1011.9,249
Mumbai,2024-02-09 08:00:00,193.87,286.14,46.9,21.54,1.68,5.0,34.4,57.6,7.1,0.0,1018.7,405
Indore,2024-02-09 09:00:00,77.2,109.28,48.46,27.23,2.35,31.74,28.0,42.4,3.3,0.0,1011.6,168
Pune,2024-02-09 10:00:00,58.98,91.81,45.04,33.46,2.22,37.68,22.1,34.8,6.9,0.0,1010.7,134
Bengaluru,2024-02-09 11:00:00,92.32,158.89,67.39,13.33,1.62,35.25,27.1,53.3,9.2,15.0,1004.4,216
Pune,2024-02-09 12:00:00,118.18,181.58,28.17,27.55,0.98,58.4,36.7,43.0,9.9,0.0,1008.2,250
Bengaluru,2024-02-09 13:00:00,129.73,204.68,57.73,19.4,0.75,22.27,29.1,46.9,12.5,3.0,1001.2,285
Mumbai,2024-02-09 14:00:00,110.35,184.31,65.62,19.09,1.21,29.3,31.2,90.1,9.2,15.0,1018.2,252
Delhi,2024-02-09 15:00:00,134.08,215.01,59.46,9.24,1.78,11.18,21.7,64.8,8.4,0.0,1004.1,296
Pune,2024-02-09 16:00:00,69.94,122.01,85.2,18.01,2.31,59.14,34.2,72.9,6.1,0.0,1013.3,175
Delhi,2024-02-09 17:00:00,177.75,310.43,39.54,13.02,1.61,34.55,43.2,71.2,5.4,15.0,1010.5,392
Bhopal,2024-02-09 18:00:00,116.71,163.86,63.32,16.75,1.98,31.86,21.5,56.4,10.6,0.0,1014.3,250
Bengaluru,2024-02-09 19:00:00,164.69,281.82,46.3,12.31,1.28,37.27,18.7,51.0,10.5,0.0,1012.2,363
Bengaluru,2024-02-09 20:00:00,133.71,211.83,67.73,16.86,1.71,46.91,28.2,62.0,4.1,0.0,1004.1,296
Mumbai,2024-02-09 21:00:00,138.27,248.27,47.88,17.16,1.81,42.86,33.1,60.7,9.8,3.0,1010.0,313
Pune,2024-02-09 22:00:00,142.79,227.51,41.79,20.68,0.41,75.07,26.4,48.9,9.6,0.0,1019.6,308
Indore,2024-02-09 23:00:00,137.91,247.51,68.9,8.7,1.19,44.36,19.6,60.1,3.9,15.0,1007.1,318
Bhopal,2024-02-10 00:00:00,145.71,247.97,40.14,9.88,1.87,31.49,26.2,46.7,9.2,0.0,1018.9,320
Mumbai,2024-02-10 01:00:00,173.17,259.65,25.4,22.53,1.54,30.14,31.2,55.3,4.1,15.0,1016.0,358
Delhi,2024-02-10 02:00:00,127.86,206.54,39.73,14.42,0.8,32.5,24.2,52.6,0.5,0.0,1012.8,277
Pune,2024-02-10 03:00:00,148.36,266.58,57.9,27.52,0.18,16.97,31.3,37.7,7.0,0.0,1007.6,338
Indore,2024-02-10 04:00:00,116.41,202.91,70.27,21.58,1.22,38.56,35.2,20.4,8.3,0.0,1013.6,270
Bhopal,2024-02-10 05:00:00,177.6,255.56,49.78,24.25,1.36,48.97,28.7,43.0,7.1,3.0,1008.9,370
Pune,2024-02-10 06:00:00,92.94,156.38,69.09,29.87,0.96,29.41,26.8,86.9,16.7,3.0,1018.6,217
Indore,2024-02-10 07:00:00,192.04,295.4,26.27,17.83,1.47,26.7,32.8,53.0,8.7,15.0,1004.3,400
Delhi,2024-02-10 08:00:00,118.39,166.08,40.91,15.98,1.65,59.22,21.0,70.4,8.0,0.0,1013.8,247
Mumbai,2024-02-10 09:00:00,62.77,98.01,43.38,26.1,1.74,18.03,20.3,24.0,8.9,0.0,1012.2,142
Mumbai,2024-02-10 10:00:00,125.12,186.92,46.17,23.57,0.22,9.05,25.1,41.9,6.1,0.0,1014.0,267
Bengaluru,2024-02-10 11:00:00,92.76,160.24,49.35,18.69,0.74,21.86,23.6,36.3,10.5,0.0,1016.3,212
Pune,2024-02-10 12:00:00,153.63,235.81,59.05,29.74,1.25,16.43,21.4,54.8,8.7,15.0,1006.7,331
Mumbai,2024-02-10 13:00:00,93.9,162.53,40.88,18.51,1.69,43.41,39.8,96.8,8.5,15.0,1006.7,212
Bengaluru,2024-02-10 14:00:00,102.15,143.04,50.22,20.23,1.64,32.95,42.2,65.4,5.5,15.0,1013.3,217
Mumbai,2024-02-10 15:00:00,44.42,67.65,47.28,20.15,1.64,34.92,24.5,85.1,2.5,0.0,1017.8,105
Bhopal,2024-02-10 16:00:00,101.91,152.5,33.19,13.46,1.21,54.14,27.6,53.9,5.9,0.0,1010.5,216
Pune,2024-02-10 17:00:00,23.04,34.42,46.18,20.54,1.24,28.32,25.7,79.8,8.4,3.0,1020.6,60
Delhi,2024-02-10 18:00:00,56.64,80.85,45.7,29.78,1.04,48.85,34.8,91.2,6.1,0.0,1010.2,127
Pune,2024-02-10 19:00:00,150.42,221.84,45.36,23.11,1.78,59.16,36.1,56.3,8.4,0.0,1007.7,316
Pune,2024-02-10 20:00:00,151.43,245.66,48.51,20.22,0.94,31.62,14.6,49.4,6.8,3.0,1014.7,330
Indore,2024-02-10 21:00:00,137.02,207.79,49.21,18.87,1.83,48.32,30.3,36.9,8.9,0.0,1008.7,293
Delhi,2024-02-10 22:00:00,81.32,127.43,41.08,22.32,1.5,34.61,17.9,53.1,4.4,0.0,1008.8,179
Delhi,2024-02-10 23:00:00,118.09,183.13,68.36,25.25,1.38,50.94,39.3,59.3,8.1,3.0,1013.6,262
Bengaluru,2024-02-11 00:00:00,119.86,209.79,29.29,24.26,1.07,16.0,30.1,90.5,5.4,3.0,1017.6,265
Bengaluru,2024-02-11 01:00:00,73.67,129.81,36.46,17.68,0.72,14.96,21.2,37.3,2.6,0.0,1013.8,169
Bhopal,2024-02-11 02:00:00,180.14,287.71,92.48,22.27,1.08,32.52,25.3,59.0,7.0,3.0,1012.6,400
Indore,2024-02-11 03:00:00,155.09,237.61,31.39,23.36,1.23,25.56,25.0,29.0,12.4,0.0,1023.5,326
Mumbai,2024-02-11 04:00:00,111.16,160.37,26.34,12.95,0.22,30.77,30.7,51.2,2.8,0.0,1016.2,230
Mumbai,2024-02-11 05:00:00,121.08,215.68,59.75,21.18,1.3,34.93,34.3,63.0,7.9,3.0,1010.0,278
Delhi,2024-02-11 06:00:00,128.34,182.76,14.77,4.87,1.86,48.08,19.0,66.2,10.1,0.0,1018.6,260
Pune,2024-02-11 07:00:00,38.33,58.23,44.24,23.38,1.68,32.29,39.9,67.4,14.9,15.0,1010.6,91
Bhopal,2024-02-11 08:00:00,110.11,167.29,82.33,24.62,1.15,26.47,38.2,64.4,5.9,0.0,1015.6,249
Pune,2024-02-11 09:00:00,92.72,141.69,23.28,25.23,1.42,33.08,20.9,67.3,5.5,0.0,1015.2,196
Indore,2024-02-11 10:00:00,79.94,117.16,16.29,17.23,1.12,27.23,27.5,58.7,3.8,0.0,1012.0,166
Mumbai,2024-02-11 11:00:00,108.76,186.33,24.01,22.16,1.47,24.92,39.0,41.2,11.1,3.0,1007.7,238
Delhi,2024-02-11 12:00:00,191.91,278.07,62.37,29.97,2.17,15.42,35.6,28.4,4.7,0.0,1011.8,403
Bhopal,2024-02-11 13:00:00,145.63,240.87,66.0,29.9,1.88,38.97,24.6,49.3,6.3,0.0,1009.2,325
Indore,2024-02-11 14:00:00,97.15,140.83,39.8,19.8,1.66,30.04,32.7,55.8,1.6,15.0,1013.6,206
Pune,2024-02-11 15:00:00,142.9,204.1,58.93,20.98,1.15,51.53,46.0,78.1,10.3,0.0,1014.5,302
Delhi,2024-02-11 16:00:00,175.97,310.38,70.24,27.78,1.77,17.74,27.7,56.4,11.2,0.0,1000.2,398
Delhi,2024-02-11 17:00:00,156.99,231.72,76.6,9.49,0.56,30.41,22.6,54.9,10.2,0.0,1014.0,339
Pune,2024-02-11 18:00:00,122.39,211.54,44.06,17.74,1.27,63.38,28.2,64.2,2.4,0.0,1028.0,274
Bhopal,2024-02-11 19:00:00,94.12,152.28,11.18,29.35,1.69,24.85,28.7,53.7,9.4,15.0,1010.1,199
Bhopal,2024-02-11 20:00:00,147.93,211.71,34.87,26.83,1.77,34.69,23.3,71.0,2.1,15.0,1017.9,305
Bhopal,2024-02-11 21:00:00,135.74,241.91,41.17,22.58,1.73,20.98,30.1,89.7,7.7,0.0,1016.5,304
Bhopal,2024-02-11 22:00:00,155.81,233.52,43.86,9.46,1.55,19.12,18.2,93.1,8.2,15.0,1002.1,329
Indore,2024-02-11 23:00:00,145.41,253.57,44.99,19.65,1.3,59.66,22.3,59.6,8.5,3.0,1015.0,324
Bhopal,2024-02-12 00:00:00,161.98,237.71,65.9,15.87,1.67,40.39,32.3,63.4,9.2,0.0,1007.0,345
Bhopal,2024-02-12 01:00:00,98.59,171.7,68.39,22.32,0.92,39.87,14.7,83.3,7.5,3.0,1010.8,231
Bhopal,2024-02-12 02:00:00,172.7,242.69,45.25,14.33,0.98,14.25,33.3,55.6,1.2,3.0,1003.2,356
Indore,2024-02-12 03:00:00,127.9,205.25,65.58,12.82,1.43,43.02,12.9,68.9,9.2,0.0,1014.7,285
Mumbai,2024-02-12 04:00:00,203.01,346.7,53.72,5.55,1.49,54.2,14.9,39.8,7.8,0.0,1010.0,446
Delhi,2024-02-12 05:00:00,92.43,163.97,49.03,28.55,0.49,54.09,23.5,53.0,4.6,0.0,1020.1,213
Bengaluru,2024-02-12 06:00:00,189.44,334.11,62.5,17.2,1.63,47.36,29.0,76.5,2.5,0.0,1003.8,425
Pune,2024-02-12 07:00:00,127.92,221.02,49.16,21.1,1.79,22.19,36.3,46.5,12.4,0.0,1017.5,287
Delhi,2024-02-12 08:00:00,93.94,164.9,80.92,19.98,1.36,42.38,27.4,56.0,11.4,0.0,1014.5,225
Indore,2024-02-12 09:00:00,100.64,148.92,24.99,12.53,2.59,47.35,25.3,32.8,9.8,0.0,1006.9,210
Pune,2024-02-12 10:00:00,107.19,162.24,39.76,11.19,1.06,12.88,31.1,90.1,5.3,0.0,1002.7,230
Bhopal,2024-02-12 11:00:00,136.97,207.58,45.98,12.96,1.22,22.3,20.9,78.2,0.5,0.0,1010.3,292
